itc_max: 800000, nc: 1, n_tr: 10, n_out: 100, n_vort: 100
beta: 1300.000000, b_art: 0.000000, dtau_f: 1000000.000000, final_time: 1.000000,
eps: 0.000100, eps_mass: 0.000100, start_mode: 0
[ITER 13][CUDA] timestep_total = 13700.106445 ms
[ITER 14][CUDA] kernel_solve_U = 3991.841553 ms
[ITER 14][CUDA] kernel_solve_V = 4076.093750 ms
[ITER 14][CUDA] kernel_solve_P = 469.073975 ms
[ITER 14][CUDA] kernel_solve_Z = 1439.379272 ms
[ITER 14][CUDA] kernel_solve_C = 1506.203003 ms
[ITER 14][CUDA] H2D = 0.000000 ms
[ITER 14][CUDA] D2H = 0.000000 ms
[ITER 14][CUDA] timestep_total = 11698.892578 ms
[ITER 15][CUDA] kernel_solve_U = 3509.403809 ms
[ITER 15][CUDA] kernel_solve_V = 3582.760742 ms
[ITER 15][CUDA] kernel_solve_P = 411.439789 ms
[ITER 15][CUDA] kernel_solve_Z = 1265.329956 ms
[ITER 15][CUDA] kernel_solve_C = 1323.711182 ms
[ITER 15][CUDA] H2D = 0.000000 ms
[ITER 15][CUDA] D2H = 0.000000 ms
[ITER 15][CUDA] timestep_total = 10282.748047 ms
[ITER 16][CUDA] kernel_solve_U = 3026.093262 ms
[ITER 16][CUDA] kernel_solve_V = 3090.864502 ms
[ITER 16][CUDA] kernel_solve_P = 354.463989 ms
[ITER 16][CUDA] kernel_solve_Z = 1090.736938 ms
[ITER 16][CUDA] kernel_solve_C = 1141.948730 ms
[ITER 16][CUDA] H2D = 0.000000 ms
[ITER 16][CUDA] D2H = 0.000000 ms
[ITER 16][CUDA] timestep_total = 8867.788086 ms
[ITER 17][CUDA] kernel_solve_U = 2617.511230 ms
[ITER 17][CUDA] kernel_solve_V = 2673.625977 ms
[ITER 17][CUDA] kernel_solve_P = 306.502411 ms
[ITER 17][CUDA] kernel_solve_Z = 943.442322 ms
[ITER 17][CUDA] kernel_solve_C = 987.495789 ms
[ITER 17][CUDA] H2D = 0.000000 ms
[ITER 17][CUDA] D2H = 0.000000 ms
[ITER 17][CUDA] timestep_total = 7670.162109 ms
[ITER 18][CUDA] kernel_solve_U = 2261.499512 ms
[ITER 18][CUDA] kernel_solve_V = 2310.257080 ms
[ITER 18][CUDA] kernel_solve_P = 264.919861 ms
[ITER 18][CUDA] kernel_solve_Z = 815.352234 ms
[ITER 18][CUDA] kernel_solve_C = 853.243652 ms
[ITER 18][CUDA] H2D = 0.000000 ms
[ITER 18][CUDA] D2H = 0.000000 ms
[ITER 18][CUDA] timestep_total = 6627.547852 ms
[ITER 19][CUDA] kernel_solve_U = 1955.016113 ms
[ITER 19][CUDA] kernel_solve_V = 1996.762817 ms
[ITER 19][CUDA] kernel_solve_P = 228.885574 ms
[ITER 19][CUDA] kernel_solve_Z = 704.546204 ms
[ITER 19][CUDA] kernel_solve_C = 737.458862 ms
[ITER 19][CUDA] H2D = 0.000000 ms
[ITER 19][CUDA] D2H = 0.000000 ms
[ITER 19][CUDA] timestep_total = 5728.431152 ms
[ITER 20][CUDA] kernel_solve_U = 1690.534058 ms
[ITER 20][CUDA] kernel_solve_V = 1726.587524 ms
[ITER 20][CUDA] kernel_solve_P = 197.870132 ms
[ITER 20][CUDA] kernel_solve_Z = 609.310486 ms
[ITER 20][CUDA] kernel_solve_C = 637.716187 ms
[ITER 20][CUDA] H2D = 0.000000 ms
[ITER 20][CUDA] D2H = 0.000000 ms
[ITER 20][CUDA] timestep_total = 4953.619629 ms
[ITER 21][CUDA] kernel_solve_U = 1463.699829 ms
[ITER 21][CUDA] kernel_solve_V = 1494.891479 ms
[ITER 21][CUDA] kernel_solve_P = 171.270142 ms
[ITER 21][CUDA] kernel_solve_Z = 527.434143 ms
[ITER 21][CUDA] kernel_solve_C = 552.059265 ms
[ITER 21][CUDA] H2D = 0.000000 ms
[ITER 21][CUDA] D2H = 0.000000 ms
[ITER 21][CUDA] timestep_total = 4288.448242 ms
[ITER 22][CUDA] kernel_solve_U = 1267.197998 ms
[ITER 22][CUDA] kernel_solve_V = 1294.371582 ms
[ITER 22][CUDA] kernel_solve_P = 148.443939 ms
[ITER 22][CUDA] kernel_solve_Z = 456.963531 ms
[ITER 22][CUDA] kernel_solve_C = 478.060608 ms
[ITER 22][CUDA] H2D = 0.000000 ms
[ITER 22][CUDA] D2H = 0.000000 ms
[ITER 22][CUDA] timestep_total = 3713.604492 ms
[ITER 23][CUDA] kernel_solve_U = 1099.512939 ms
[ITER 23][CUDA] kernel_solve_V = 1123.148804 ms
[ITER 23][CUDA] kernel_solve_P = 128.669693 ms
[ITER 23][CUDA] kernel_solve_Z = 396.492432 ms
[ITER 23][CUDA] kernel_solve_C = 414.905640 ms
[ITER 23][CUDA] H2D = 0.000000 ms
[ITER 23][CUDA] D2H = 0.000000 ms
[ITER 23][CUDA] timestep_total = 3222.249512 ms
[ITER 24][CUDA] kernel_solve_U = 956.531494 ms
[ITER 24][CUDA] kernel_solve_V = 975.914978 ms
[ITER 24][CUDA] kernel_solve_P = 114.874878 ms
[ITER 24][CUDA] kernel_solve_Z = 345.217682 ms
[ITER 24][CUDA] kernel_solve_C = 361.923462 ms
[ITER 24][CUDA] H2D = 0.000000 ms
[ITER 24][CUDA] D2H = 0.000000 ms
[ITER 24][CUDA] timestep_total = 2806.829102 ms
