-6.000000 -4.205221 0.000000 0.500000 307.233713 1.000000 0.000000
-6.000000 -4.152478 0.000000 -nan 307.233713 -nan -nan
-6.000000 -4.099841 0.000000 -nan 307.229757 -nan -nan
-6.000000 -4.047308 0.000000 -nan 307.225572 -nan -nan
-6.000000 -3.994878 0.000000 -nan 307.221053 -nan -nan
-6.000000 -3.942550 0.000000 -nan 307.216197 -nan -nan
-6.000000 -3.890324 0.000000 -nan 307.211001 -nan -nan
-6.000000 -3.838198 0.000000 -nan 307.205466 -nan -nan
-6.000000 -3.786171 0.000000 -nan 307.199591 -nan -nan
-6.000000 -3.734242 0.000000 -nan 307.193377 -nan -nan
-6.000000 -3.682411 0.000000 -nan 307.186825 -nan -nan
-6.000000 -3.630677 0.000000 -nan 307.179939 -nan -nan
-6.000000 -3.579037 0.000000 -nan 307.172720 -nan -nan
-6.000000 -3.527492 0.000000 -nan 307.165171 -nan -nan
-6.000000 -3.476040 0.000000 -nan 307.157294 -nan -nan
-6.000000 -3.424681 0.000000 -nan 307.149089 -nan -nan
-6.000000 -3.373412 0.000000 -nan 307.140558 -nan -nan
-6.000000 -3.322234 0.000000 -nan 307.131702 -nan -nan
-6.000000 -3.271145 0.000000 -nan 307.122519 -nan -nan
-6.000000 -3.220143 0.000000 -nan 307.113012 -nan -nan
-6.000000 -3.169228 0.000000 -nan 307.103179 -nan -nan
-6.000000 -3.118399 0.000000 -nan 307.093021 -nan -nan
-6.000000 -3.067655 0.000000 -nan 307.082539 -nan -nan
-6.000000 -3.016994 0.000000 -nan 307.071733 -nan -nan
-6.000000 -2.966416 0.000000 -nan 307.060604 -nan -nan
-6.000000 -2.915918 0.000000 -nan 307.049152 -nan -nan
-6.000000 -2.865501 0.000000 -nan 307.037379 -nan -nan
-6.000000 -2.815162 0.000000 -nan 307.025286 -nan -nan
-6.000000 -2.764901 0.000000 -nan 307.012874 -nan -nan
-6.000000 -2.714717 0.000000 -nan 307.000145 -nan -nan
-6.000000 -2.664607 0.000000 -nan 306.987101 -nan -nan
-6.000000 -2.614572 0.000000 -nan 306.973742 -nan -nan
-6.000000 -2.564610 0.000000 -nan 306.960070 -nan -nan
-6.000000 -2.514719 0.000000 -nan 306.946089 -nan -nan
-6.000000 -2.464899 0.000000 -nan 306.931799 -nan -nan
-6.000000 -2.415148 0.000000 -nan -nan -nan -nan
-6.000000 -2.365465 0.000000 -nan -nan -nan -nan
-6.000000 -2.315848 0.000000 -nan -nan -nan -nan
-6.000000 -2.266297 0.000000 -nan -nan -nan -nan
-6.000000 -2.216811 0.000000 -nan -nan -nan -nan
-6.000000 -2.167387 0.000000 -nan -nan -nan -nan
-6.000000 -2.118024 0.000000 -nan -nan -nan -nan
-6.000000 -2.068722 0.000000 -nan -nan -nan -nan
-6.000000 -2.019479 0.000000 -nan -nan -nan -nan
-6.000000 -1.970293 0.000000 -nan -nan -nan -nan
-6.000000 -1.921164 0.000000 -nan -nan -nan -nan
-6.000000 -1.872090 0.000000 -nan -nan -nan -nan
-6.000000 -1.823070 0.000000 -nan -nan -nan -nan
-6.000000 -1.774102 0.000000 -nan -nan -nan -nan
-6.000000 -1.725185 0.000000 -nan -nan -nan -nan
-6.000000 -1.676318 0.000000 -nan -nan -nan -nan
-6.000000 -1.627500 0.000000 -nan -nan -nan -nan
-6.000000 -1.578728 0.000000 -nan -nan -nan -nan
-6.000000 -1.530002 0.000000 -nan -nan -nan -nan
-6.000000 -1.481320 0.000000 -nan -nan -nan -nan
-6.000000 -1.432681 0.000000 -nan -nan -nan -nan
-6.000000 -1.384084 0.000000 -nan -nan -nan -nan
-6.000000 -1.335526 0.000000 -nan -nan -nan -nan
-6.000000 -1.287008 0.000000 -nan -nan -nan -nan
-6.000000 -1.238527 0.000000 -nan -nan -nan -nan
-6.000000 -1.190081 0.000000 -nan -nan -nan -nan
-6.000000 -1.141671 0.000000 -nan -nan -nan -nan
-6.000000 -1.093293 0.000000 -nan -nan -nan -nan
-6.000000 -1.044948 0.000000 -nan -nan -nan -nan
-6.000000 -0.996632 0.000000 -nan -nan -nan -nan
-6.000000 -0.948346 0.000000 -nan -nan -nan -nan
-6.000000 -0.900086 0.000000 -nan -nan -nan -nan
-6.000000 -0.851853 0.000000 -nan -nan -nan -nan
-6.000000 -0.803645 0.000000 -nan -nan -nan -nan
-6.000000 -0.755460 0.000000 -nan -nan -nan -nan
-6.000000 -0.707296 0.000000 -nan -nan -nan -nan
-6.000000 -0.659153 0.000000 -nan -nan -nan -nan
-6.000000 -0.611029 0.000000 -nan -nan -nan -nan
-6.000000 -0.562922 0.000000 -nan -nan -nan -nan
-6.000000 -0.514831 0.000000 -nan -nan -nan -nan
-6.000000 -0.466755 0.000000 -nan -nan -nan -nan
-6.000000 -0.418692 0.000000 -nan -nan -nan -nan
-6.000000 -0.370640 0.000000 -nan -nan -nan -nan
-6.000000 -0.322599 0.000000 -nan -nan -nan -nan
-6.000000 -0.274566 0.000000 -nan -nan -nan -nan
-6.000000 -0.226541 0.000000 -nan -nan -nan -nan
-6.000000 -0.178521 0.000000 -nan -nan -nan -nan
-6.000000 -0.130506 0.000000 -nan -nan -nan -nan
-6.000000 -0.082494 0.000000 -nan -nan -nan -nan
-6.000000 -0.034483 0.000000 -nan -nan -nan -nan
